search_string,customer_id,company_name,account_type,status,msp_id,email,created_by,phone_number,region,organization_id,activate_customer_id,multi_fa_enabled,created_at,updated_at,address_street,address_city,address_state,address_zip,address_country
deceafee1f2211eea5bd8a44cf309552,deceafee1f2211eea5bd8a44cf309552,Fylde Coast Academy Trust,STANDALONE,ACTIVE,STANDALONE,pete.montgomery@fcat.org.uk,pete.montgomery@fcat.org.uk,01253207709,US,872ed7c1-09b7-4d06-94b6-72606be31bd3,,,2023-07-10T13:08:32.250368,2026-04-01T17:20:50.295873,Fylde Coast Academy Trust,Blackpool,,FY4 4RR,GB
52031078c4a011ed8a5dfebb90198541,52031078c4a011ed8a5dfebb90198541,Strawberry,STANDALONE,ACTIVE,STANDALONE,,kenneth.jorgensen@netnordic.com,,US,18815cd4-9714-44cc-b763-b3c188b874b7,,,2023-03-17T08:47:16.810101,2026-04-01T15:15:26.740773,Mäster Samuelsgatan 42,Stockholm,,111 57,SE
c1e4b2b01c6d11ed965a8a473c3911af,c1e4b2b01c6d11ed965a8a473c3911af,Value Logistics,STANDALONE,ACTIVE,STANDALONE,,jmontoedi@datacentrix.co.za,,US,eceadbf8-459c-4e6a-b668-8403ca8611b8,,,2022-08-15T07:42:04.836022,2026-04-01T11:52:46.982895, 147 North Reef Road,Bedfordview,JHB,1401,ZA
a6ff0158635c11ee899d72a4aa2098a2,a6ff0158635c11ee899d72a4aa2098a2,Arab Petroleum Investments Corporation,STANDALONE,ACTIVE,STANDALONE,,selgmmal@apicorp.org,,US,b996e73c-7002-467a-a15c-0e6f79a0ff0f,,,2023-10-05T08:53:28.493797,2026-04-01T19:17:01.775129,Riyadh,,,,SA
500e6d1cfd9011ec8fbafe57240c98d0,500e6d1cfd9011ec8fbafe57240c98d0,covim spa,STANDALONE,ACTIVE,STANDALONE,fabrizio.corinni@covimcaffe.it,fabrizio.corinni@covimcaffe.it,+39-0108351571,eu-central,f3519c22-a1ad-4d82-bd54-0884dc2dc4fb,,True,2021-08-03T13:12:03,2026-03-31T08:17:02.317869,,genova,Genoa,16138,IT
5c4d5d8cd93a11ed856d52da180d838f,5c4d5d8cd93a11ed856d52da180d838f,CSJ,STANDALONE,ACTIVE,STANDALONE,soporteredes@deaj.ramajudicial.gov.co,soporteredes@deaj.ramajudicial.gov.co,3212363297,US,04f32812-b158-4ce5-bfcf-c071b1d7daa2,,,2023-04-12T14:00:19.826147,2026-04-01T15:41:45.541870,Calle 12 No. 7 - 65,Bogotá,Cundinamarca,111711,CO
ec53842c0e8a11eda1d062d697693ce1,ec53842c0e8a11eda1d062d697693ce1,Beauregard Parish School Board,STANDALONE,ACTIVE,STANDALONE,cgoodwin@beau.k12.la.us,cgoodwin@beau.k12.la.us,,US,94d378ab-6869-4954-a866-b93fde941c7b,,,2022-07-28T15:35:35.152820,2026-04-01T11:38:52.586536,202 W. Third Street,Deridder,,70634,US
747fac0a523611ee88f4d2061b356b85,747fac0a523611ee88f4d2061b356b85,ASBC,STANDALONE,ACTIVE,STANDALONE,envision@alfredstreet.org,envision@alfredstreet.org,,US,31bde661-7ae5-47a0-a064-e495df8007e1,,,2023-09-13T13:07:13.130286,2026-04-01T18:44:00.374532,325 South Patrick Street,,,,US
bd1a5df412f211edbb16ce3fe53b83a3,bd1a5df412f211edbb16ce3fe53b83a3,Ajman chamber,STANDALONE,ACTIVE,STANDALONE,,sraj@sstech.net,80070,US,624145a4-d810-4449-85e7-516e2f1347d2,,,2022-08-03T06:08:48.236406,2026-04-01T11:43:11.291302,Al Owan - Nakhil 2 - Ajman,Ajman,,662,AE
a40ba51ac67711eca2cf9efb55836a4d,a40ba51ac67711eca2cf9efb55836a4d,Docol,STANDALONE,ACTIVE,STANDALONE,registrodesoftware@docol.com.br,registrodesoftware@docol.com.br,+55-47 3451 1450,us-west,e90abaf3-cd55-464d-95dd-e8a7f805e06b,,,2022-03-21T12:19:38,2026-04-01T09:37:42.136418,"Av. Edmundo Doubrawa, 1001",Joinville,Santa Catarina,89219-502,BR
8bd3142ac67611eca2cf9efb55836a4d,8bd3142ac67611eca2cf9efb55836a4d,Jefferson Parish Public School System,STANDALONE,ACTIVE,STANDALONE,brittany.guidry@jpschools.org,brittany.guidry@jpschools.org,+1-504-349-8963,us-west,7a7faf32-dc00-43a0-9177-e597e6762fe6,,,2021-06-16T18:10:41,2026-03-31T07:38:53.957142,4600 River Road,Marrero,Louisiana,70072,US
59750afe855011ecb95dcad7e76eb997,59750afe855011ecb95dcad7e76eb997,M DIAS BRANCO,STANDALONE,ACTIVE,STANDALONE,cit.tig@mdiasbranco.com.br,svc-centraltac@arubanetworks.com,+55-85985118511,US,2ed5066e-6a94-4b3c-81ca-556cf1dc8923,,,2022-02-04T00:21:08.636683,2026-04-05T01:33:18.686256,BR 116 KM 18 S/N,EUSÉBIO,Ceara,6000000,BR
894a055ac67711eca2cf9efb55836a4d,894a055ac67711eca2cf9efb55836a4d,Darigold,STANDALONE,ACTIVE,STANDALONE,itops@darigold.com,itops@darigold.com,+1-2067432871,us-west,d1cb9fa9-0083-4664-afaa-8b39e9a2898c,,,2022-03-01T19:04:37,2026-04-01T09:13:08.448763,5601 6th Ave S Suite 300,SEATTLE,Washington,98108,US
98dc0a6e7ab811ec8983beab16355848,98dc0a6e7ab811ec8983beab16355848,Rhea County Schools,STANDALONE,ACTIVE,STANDALONE,hicksd@rheacounty.org,hicksd18@gmail.com,+1-4237757812,us-west,25ac99b0-5934-48ce-aa05-3869a3085551,,,2020-12-29T16:20:27,2026-03-31T05:22:17.117135,305 California Avenue,Dayton,Tennessee,37321,US
0592013c849a11ec98b64e266d7aec37,0592013c849a11ec98b64e266d7aec37,ProAmpac SAML 9C5EC144,STANDALONE,ACTIVE,STANDALONE,,svc-centraltac@arubanetworks.com,+1-5135511202,US,57ec64fb-4aa3-4adf-add9-9e42d138af4e,,,2022-02-03T02:35:59.493022,2026-04-01T08:35:56.741020,12025 Tricon Road,Cincinnati,Ohio,45246,US
51c340947ab711ec9e04e24f515411d3,51c340947ab711ec9e04e24f515411d3,MERIWETHER COUNTY SCHOOL SYSTE,STANDALONE,ACTIVE,STANDALONE,chris.garsee@mcssga.org,hpe-activate-migration-tac@hpe.com,+1-7064410642,us-west,f911e88d-7c5b-421b-9e93-e1270a6b6b04,,True,2019-10-16T14:13:52,2026-03-31T00:16:12.901522,2100 Gaston Street,Greenville ,Georgia,30222,US
4f80c9e4cc1211ecb6fdfef9f61ff907,4f80c9e4cc1211ecb6fdfef9f61ff907,WP Rawl and Sons,STANDALONE,ACTIVE,STANDALONE,wprit@rawl.net,wprit@rawl.net,+1-8037853181,us-west,78c92667-8a6e-45cd-8445-8c30c93b8147,,,2020-09-17T17:24:42,2026-03-31T04:15:33.551249,824 Fairview Road,Pelion,South Carolina,29123,US
463fbfe47ab811ec8888560735cddfe1,463fbfe47ab811ec8888560735cddfe1,"Greystar Global Enterprise, LLC",STANDALONE,ACTIVE,STANDALONE,will.scott@greystar.com,hpe-activate-migration-tac@hpe.com,+1-9014436923,us-west,6211cf9f-42db-4919-b493-664166c4902b,,,2021-03-18T16:30:57,2026-03-31T06:18:44.000299,"600 Las Colinas Blvd E, Suite 2100",Irving,Texas,75039,US
233090cccc1211ecb6fdfef9f61ff907,233090cccc1211ecb6fdfef9f61ff907,Franklin Towne Charter High School,STANDALONE,ACTIVE,STANDALONE,ahall@franklintowne.org,ahall@franklintowne.org,+1-2152895000,us-west,dd60aeff-d16d-42e3-b1b2-4010d5f62e84,,,2020-08-28T17:09:22,2026-03-31T04:00:54.011102,"5301 Tacony Street
",Philadelphia,Pennsylvania,19137,US
7a4eee3c7ab711ec9250ba50c21c58e9,7a4eee3c7ab711ec9250ba50c21c58e9,VERA WANG BRIDAL HOUSE,STANDALONE,ACTIVE,STANDALONE,helpdesk@verawang.com,hpe-activate-migration-tac@hpe.com,+1-3473513629,us-west,ac931217-2795-4b5d-95ff-10a21eb1feac,,,2019-04-10T16:27:03,2026-03-30T22:04:23.490524,15 E26th St5th Floor,New York,New York,10010,US
c8d3cd427ab811ecb8703e7cfd568923,c8d3cd427ab811ecb8703e7cfd568923,MILLENNIUM DIGITAL TECHNOLOGIES LLC,MSP,ACTIVE,MSP,mhead@mdtusa.com,hpe-activate-migration-tac@hpe.com,+1-7342888475,us-west,39a8407a-afb2-43ec-84f6-ca17b66adb6c,,True,2020-12-21T21:54:44,2026-03-31T05:19:04.377664,655 W 13 Mile Road,Clinton Township,Michigan,48035,US
503b7b9ecc1311ecb6fdfef9f61ff907,503b7b9ecc1311ecb6fdfef9f61ff907,Conexión Total znula,MSP,ACTIVE,MSP,acmsp@conexiontotal.net,acmsp@conexiontotal.net,+593-983344981,us-west,03c3671e-8424-4409-9ce0-08ba0fa3a22e,,,2021-02-22T18:37:51,2026-03-31T05:58:33.403902,Urdesa Central,Guayaquil,Guayas,090511,EC
b0e447bc7ab711ec9e058ea64e79e227,b0e447bc7ab711ec9e058ea64e79e227,INTER-AMERICAN DEVELOPMENT BANK,STANDALONE,ACTIVE,STANDALONE,ectcommunications@iadb.org,krishans@iadb.org,+1-2026231090,us-west,c000cfa4-2a34-4a0e-ae64-8c26f6a490c6,,True,2019-10-02T18:44:51,2026-03-31T00:05:22.779212,1300 New York Ave NW,WASHINGTON,District of Columbia,20577,US
fb9e3994cc0f11ecb6fdfef9f61ff907,fb9e3994cc0f11ecb6fdfef9f61ff907,AVN,STANDALONE,ACTIVE,STANDALONE,aji_vn@ajinomoto.com.vn,aji_vn@ajinomoto.com.vn,+84-912345678,us-west,3f32ba4c-6a18-483d-bf4a-05970a3a66e0,,,2019-09-25T05:31:13,2026-03-30T23:58:42.385769,BH,BH,Dong Nai,00084,VN
9469437a7ab811ec898072b242e4f66d,9469437a7ab811ec898072b242e4f66d,SSML Marine,STANDALONE,ACTIVE,STANDALONE,aalb@seaspancorp.com,twoodworth@seaspancorp.com,+1 (604) 805-0069,us-west,72f8a162-107f-401d-bfba-3073424e4a91,,,2020-10-15T23:10:16,2026-03-31T04:34:05.753077,2600 – 200 Granville St.,Vancouver,Vancouver,V6C 1S4,CA
2114b2e0cb6411ec8494baf8061c686b,2114b2e0cb6411ec8494baf8061c686b,Safety NetAccess Marriott-MIGR-04052022-043905,MSP,ACTIVE,MSP,acolorio@safetynetaccess.com,hpe-activate-migration-tac@hpe.com,,us-west,125b00ed-28d0-441b-91d6-fbb759854f24,,,2019-08-14T16:39:13,2026-03-30T23:31:26.218858,6334 Cephis Drive,Clemmons,North Carolina,27012,US
d0bc3c64cc1211ecb6fdfef9f61ff907,d0bc3c64cc1211ecb6fdfef9f61ff907,BP Bioenergy,STANDALONE,ACTIVE,STANDALONE,redes@bpbioenergy.com,redes@bpbungebio.com.br,+55-63 999176285,us-west,0883c7c7-4ba2-406b-89a3-205c003d3a79,,True,2020-12-03T12:46:43,2026-03-31T05:07:32.126964,"Av. Nações Unidas, 12399",São Paulo,Sao Paulo,04578000,BR
46d0d5de7ab711ecbad7caf960d7426d,46d0d5de7ab711ecbad7caf960d7426d,United Farmers of Alberta,STANDALONE,ACTIVE,STANDALONE,networkalerts@ufa.com,networkalerts@ufa.com,+1-4035704250,us-west,fb96c27a-0fba-4837-8dae-211d27e65369,,,2019-01-08T14:21:49,2026-03-30T20:58:00.808684,"700, 4838 Richard Rd SW",Calgary,Alberta,T3E 6L1,CA
cb4390a2cc1211ecb6fdfef9f61ff907,cb4390a2cc1211ecb6fdfef9f61ff907,ICT Inc Cloud,STANDALONE,ACTIVE,STANDALONE,support@ictcomputer.com,sgreen@ictcomputer.com,+1-5043671650,us-west,a4457640-f2f6-4b5f-a6e9-f27e466ad102,,,2020-11-30T13:10:15,2026-03-31T05:04:16.175085,115 Enterprise Drive,Gretna,Louisiana,70056-8050,US
8f402bd2cc1311ecb6fdfef9f61ff907,8f402bd2cc1311ecb6fdfef9f61ff907,Hytrol Conveyor,STANDALONE,ACTIVE,STANDALONE,elton@c2-networks.com,elton@c2-networks.com,+1-8709745624,us-west,80f98159-ce38-48ab-8f1b-937ff78396ea,,,2021-03-23T21:35:19,2026-03-31T06:23:08.783756,2020 Hytrol StreetSuite B,Jonesboro,Arkansas,72401,US
e7df0f2acc1211ecb6fdfef9f61ff907,e7df0f2acc1211ecb6fdfef9f61ff907,Sparta Area School District,STANDALONE,ACTIVE,STANDALONE,mkalisz@spartan.org,mkalisz@spartan.org,+1-6083994115,us-west,a4104b5a-2ae4-47c7-83ae-30cec8b5f116,,,2020-12-17T19:42:26,2026-03-31T05:17:34.704186,"506 N. Black River Street
",Sparta,Wisconsin,54656,US
2168ef90cc1311ecb6fdfef9f61ff907,2168ef90cc1311ecb6fdfef9f61ff907,Intercontinental Exchange,STANDALONE,ACTIVE,STANDALONE,suraj.ravishankar@theice.com,dennis.rosatelli@nyse.com,+1-770-857-0392,us-west,e2f5f97d-9da7-4536-9ef9-6c03e1cc2e4d,,,2021-01-22T21:43:26,2026-03-31T05:36:48.769336,5660 New Northside Dr. NW5th Floor,Atlanta,Georgia,30328,US
b1e3342a7ab711ecb671560735cddfe1,b1e3342a7ab711ecb671560735cddfe1,WABTEC Corporation,STANDALONE,ACTIVE,STANDALONE,wabtec-itnetworking@wabtec.com,hpe-activate-migration-tac@hpe.com,+1-(412) 825-1034,us-west,120759da-52af-48b8-a65b-2b2b2c16fc8a,,,2020-11-12T15:00:20,2026-03-31T04:52:50.935979,30 Isabella St,Pittsburgh,Pennsylvania,15212,US
666a5c347ab811ec8888560735cddfe1,666a5c347ab811ec8888560735cddfe1,Benemerito Cuerpo De Bomberos Voluntarios De Cuenca,STANDALONE,ACTIVE,STANDALONE,tic@bomberos.gob.ec,hpe-activate-migration-tac@hpe.com,+593-74078604,us-west,d148e374-a77d-45f4-9486-f638bc372af5,,,2018-10-04T20:16:13,2026-03-30T19:56:27.964469,Miguel HerediaAv. Américas,Cuenca,Azuay,010208,EC
e536a042c0ed11eca8480a4dae534d5e,e536a042c0ed11eca8480a4dae534d5e,SGTS-FR,TENANT,ACTIVE,6bb2d0c0849c11ecabd5924ebb952c5e,yannig.charpentier@saint-gobain.com,yannig.charpentier@saint-gobain.com,+33-643089645,eu-central,66e0aeea-5b2f-4183-832d-e352dffa8581,,True,2021-05-26T08:32:18,2026-03-31T07:21:22.333200,LES MIROIRS LA DEFENSE3 18 AVENUE D ALSACE,COURBEVOIE,Ile-de-France,92400,FR
